[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3979184928.80977,02/02/2026,9:08 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.3.2 Build 2, MultiVu Release 2.3.9.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,MMC1133,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQD030,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC199,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI-315,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Quartz,SAMPLE_MATERIAL
INFO,quartz_rod_blank,SAMPLE_COMMENT
INFO,1000,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,56.61,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3979187355.14507,298.005905151367,8333.25390625,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,298.002990722656,298.010101318359,8333.25390625,8333.25390625,,,7.44876909255981,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,298.004180908203,0,4232058272,298.0064324273,,,-7.9389436641927E-7,1.11313032317143E-7,-2.20942919640957E-6,1.14011721435951E-7,0.0410867109894753,0.362988233566284,62.0804443359375,,30,4,200,0.0425370782613754,-0.195945650339127,0.551734566688538,2,,,,,,,,,,,,,,,,
,3979187396.96653,297.998168945313,9166.7890625,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.995941162109,298.003173828125,9166.7890625,9166.7890625,,,7.45038318634033,,1,0,0,0,0,30.7917900085449,1,1,1,297.995880126953,0,4232057888,297.999998304579,,,-9.65528224241752E-6,8.80269871870989E-7,-1.47525695060827E-5,8.89801782522019E-7,0.100201286375523,0.248296648263931,60.7266616821289,0,30,4,200,0.1647057980299,-0.350318849086761,0.9791259765625,2,,,,,,,,,,,,,,,,
,3979187499.81511,297.999359130859,10000.0576171875,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.996948242188,298.003234863281,10000.0576171875,10000.0576171875,,,7.45382881164551,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,297.998565673828,0,4232057888,297.999964396159,,,-7.01695819930123E-7,1.12076249026855E-7,-2.36154398482274E-6,1.18288378783516E-7,0.0315079465508461,0.392261505126953,63.0168762207031,,30,4,200,0.0362366586923599,-0.360737025737762,0.270318031311035,2,,,,,,,,,,,,,,,,
,3979187541.5502,297.996200561523,9167.0419921875,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.993041992188,298.003448486328,9167.0419921875,9167.0419921875,,,7.45559501647949,,1,0,0,0,0,30.7917900085449,1,1,1,297.993041992188,0,4232058240,297.998890123869,,,6.87510908999804E-6,5.42339967486135E-7,8.72295309693976E-6,5.48647702313623E-7,0.136444717645645,0.225381344556808,59.7075729370117,0.0643347054719925,30,4,200,-0.102867923676968,-0.72921872138977,0.431606113910675,2,,,,,,,,,,,,,,,,
,3979187643.75823,297.998352050781,8333.724609375,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.997039794922,298.003540039063,8333.724609375,8333.724609375,,,7.45841836929321,,1,0,0,0,0.0139617919921875,30.3030319213867,1,1,1,297.9970703125,0,4232057984,298.000130547418,,,-2.33344772819476E-7,8.41978075288455E-8,-9.44577695206879E-6,5.8809220228343E-7,0.00609499076381326,0.230711221694946,28.2558250427246,0,30,4,200,0.00873236265033484,-0.571574628353119,0.521939694881439,2,,,,,,,,,,,,,,,,
,3979187685.20808,297.997085571289,7500.419921875,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.995391845703,298.002960205078,7500.419921875,7500.419921875,,,7.45976305007935,,1,0,0,0,0.0139617919921875,30.3030319213867,1,1,1,297.998382568359,0,4232058240,297.998436821832,,,4.522273297834E-6,3.42701983870813E-7,5.31331046164863E-6,3.46835784547136E-7,0.148839831352234,0.207115739583969,59.0094604492188,,30,4,200,0.00956944469362497,-0.541356205940247,-0.203343018889427,2,,,,,,,,,,,,,,,,
,3979187787.79478,298.000045776367,6666.84912109375,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.9970703125,298.005706787109,6666.84912109375,6666.84912109375,,,7.46272706985474,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,297.999237060547,0,4232058144,298.001001993815,,,4.37428679206561E-7,4.70536962100097E-8,5.18107567595306E-7,4.6351625118493E-8,0.0708845779299736,0.104284502565861,54.5399932861328,,30,4,200,0.0309361238032579,-0.560305237770081,-0.0125196212902665,2,,,,,,,,,,,,,,,,
,3979187828.66309,297.997039794922,5833.32763671875,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.995819091797,298.001647949219,5833.32763671875,5833.32763671875,,,7.46405744552612,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,297.996032714844,0,4232058240,297.998779296875,,,8.91197921454636E-6,7.33860940542402E-7,1.19481663154937E-5,7.41571503993757E-7,0.124413199722767,0.232374846935272,60.0302047729492,0.314011812210083,30,4,200,-0.112130969762802,-1.11305522918701,0.492985934019089,2,,,,,,,,,,,,,,,,
,3979187932.04567,298.000579833984,5000.09521484375,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.99072265625,298.005126953125,5000.09521484375,5000.09521484375,,,7.46621179580689,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,297.999145507812,0,4232058400,297.998429147821,,,7.25643552103367E-7,4.02717401610496E-8,7.33241445626705E-7,4.04358097952746E-8,0.302663952112198,0.307388037443161,57.0734748840332,0,30,4,200,-0.0204059816896915,-0.147681504487991,0.207728043198586,2,,,,,,,,,,,,,,,,
,3979187974.15568,298.001983642578,4167.01953125,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.999755859375,298.007873535156,4167.01953125,4167.01953125,,,7.46740865707398,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,297.999816894531,0,4232058208,298.003411187066,,,9.57154874804055E-6,7.95492506597334E-7,1.31377624488909E-5,8.04135556210193E-7,0.121975921094418,0.23996376991272,60.1719703674316,0.00640187971293926,30,4,200,-0.147167727351189,-0.691497266292572,0.375430256128311,2,,,,,,,,,,,,,,,,
