[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3974537230.42971,12/10/2025,2:07 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.3.2 Build 2, MultiVu Release 2.3.9.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,MMC1133,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQD030,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC199,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI-315,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Fe2O3,SAMPLE_MATERIAL
INFO,4x4 mm,SAMPLE_COMMENT
INFO,.008384,SAMPLE_MASS
INFO,.0016,SAMPLE_VOLUME
INFO,159.687,SAMPLE_MOLECULAR_WEIGHT
INFO,4x4,SAMPLE_SIZE
INFO,square,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,88.97,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3974539598.9892,292.990432739258,1666.5615234375,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.974884033203,293.004364013672,1666.5615234375,1666.5615234375,,,7.85675764083862,,1,0,0,0,0,31.2805480957031,1,1,1,292.976501464844,0,2084574656,292.991793823242,,,0.00010307771239515,7.15211865742525E-6,0.000119586251513793,7.55418080711944E-6,0.299354881048202,0.378892332315445,36.4272842407227,0,30,4,200,-0.0340584218502045,-1.05410087108612,1.00880658626556,1,,,,,,,,,,,,,,,,
,3974539621.23787,292.984191894531,1833.09204101562,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.968872070313,292.99609375,1833.09204101562,1833.09204101562,,,7.85748529434204,,1,0,0,0,0,30.7917900085449,1,1,1,292.972290039063,0,2084574592,292.982775878906,,,0.000109319303433638,7.76698745230794E-6,0.000127168016540011,8.20851097135286E-6,0.28274393081665,0.358327716588974,36.4168357849121,0,30,4,200,-0.042669378221035,-0.361846655607223,0.708763957023621,1,,,,,,,,,,,,,,,,
,3974539642.96678,292.991943359375,1999.56225585938,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.976837158203,293.006622314453,1999.56225585938,1999.56225585938,,,7.85863351821899,,1,0,0,0,0,30.7917900085449,1,1,1,292.977386474609,0,2084574752,292.994714355469,,,0.000103911312264151,8.18087017567715E-6,0.000124602080137876,8.71845496310149E-6,0.22245728969574,0.293334484100342,36.2750205993652,0,30,4,200,-0.141235142946243,-0.915031671524048,0.822397708892822,1,,,,,,,,,,,,,,,,
,3974539664.6878,292.993911743164,1833.22485351562,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.977783203125,293.008605957031,1833.22485351562,1833.22485351562,,,7.85941123962402,,1,0,0,0,0,31.2805480957031,1,1,1,292.979217529297,0,2084574624,292.995703125,,,0.000101862786415512,7.60863497998276E-6,0.000120080446847357,8.07076317751033E-6,0.251198381185532,0.323663711547852,36.3530883789063,0,30,4,200,-0.0164177156984806,-0.215584605932236,0.62159264087677,1,,,,,,,,,,,,,,,,
,3974539686.46764,292.994186401367,1666.5615234375,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.978454589844,293.008880615234,1666.5615234375,1666.5615234375,,,7.86070919036865,,1,0,0,0,0,30.7917900085449,1,1,1,292.979583740234,0,2084574336,292.996417236328,,,8.91952804157096E-5,6.9304407959982E-6,0.000107102951703939,7.39027378160434E-6,0.22927138209343,0.303422659635544,36.2650871276855,0,30,4,200,-0.0328318439424038,-0.857076585292816,0.016233978793025,1,,,,,,,,,,,,,,,,
,3974539708.16947,292.994293212891,1499.88598632813,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.979858398438,293.007843017578,1499.88598632813,1499.88598632813,,,7.86165761947632,,1,0,0,0,0,31.2805480957031,1,1,1,292.981109619141,0,2084574368,292.996606445313,,,7.8179409090618E-5,6.27729447479397E-6,9.56792897642051E-5,6.73003093539337E-6,0.212708160281181,0.289636433124542,36.1794624328613,0,30,4,200,-0.0414434261620045,-0.294915795326233,0.570014894008636,1,,,,,,,,,,,,,,,,
,3974539729.59175,292.994491577148,1333.46411132812,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.978240966797,293.009033203125,1333.46411132812,1333.46411132812,,,7.86157941818237,,1,0,0,0,0,31.2805480957031,1,1,1,292.979949951172,0,2084574336,292.996444702148,,,7.02124334395998E-5,5.66961118632232E-6,8.69361357224102E-5,6.09916680766557E-6,0.209994077682495,0.291456401348114,36.1277313232422,6.0106348991394,30,4,200,-0.0352145172655582,-0.331121832132339,0.435107529163361,1,,,,,,,,,,,,,,,,
,3974539751.136,292.995025634766,1166.60754394531,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.978363037109,293.009613037109,1166.60754394531,1166.60754394531,,,7.86288356781006,,1,0,0,0,0,30.3030319213867,1,1,1,292.980438232422,0,2084574368,292.996356201172,,,6.27038566797529E-5,5.0865880102752E-6,7.92550984188346E-5,5.5047311731763E-6,0.207823514938354,0.298621714115143,36.0402183532715,0.0147437835112214,30,4,200,-0.0203394703567028,-0.217364951968193,0.399273931980133,1,,,,,,,,,,,,,,,,
,3974539772.69861,292.994003295898,1000.17352294922,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.979644775391,293.0068359375,1000.17352294922,1000.17352294922,,,7.86388444900513,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,292.981567382812,0,2084574656,292.995971679687,,,6.01372342548364E-5,4.53487164547991E-6,7.51168474555705E-5,4.89415116483704E-6,0.245691984891891,0.34990581870079,36.0802688598633,0.0170565508306026,30,4,200,0.00144840509165078,-0.865432262420654,0.667671978473663,1,,,,,,,,,,,,,,,,
,3974539794.34951,292.994216918945,833.510131835938,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.977416992188,293.009033203125,833.510131835938,833.510131835938,,,7.86430263519287,,1,0,0,0,0.0139617919921875,31.2805480957031,1,1,1,292.979400634766,0,2084574496,292.995755004883,,,5.30970981204524E-5,3.91185531887731E-6,6.71319524280299E-5,4.23784923760939E-6,0.259432882070541,0.379553109407425,36.0258293151855,2.82493591308594,30,4,200,0.0247195865958929,-0.608665645122528,0.722847104072571,1,,,,,,,,,,,,,,,,
