[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3975060816.40338,12/16/2025,3:33 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.3.2 Build 2, MultiVu Release 2.3.9.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,MMC1133,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQD030,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC199,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI-315,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Fe2O3,SAMPLE_MATERIAL
INFO,4x4 mm,SAMPLE_COMMENT
INFO,.008384,SAMPLE_MASS
INFO,.0016,SAMPLE_VOLUME
INFO,159.687,SAMPLE_MOLECULAR_WEIGHT
INFO,4x4,SAMPLE_SIZE
INFO,square,SAMPLE_SHAPE
INFO,Not Specified,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,45.34,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3975061761.41424,292.998184204102,25000.306640625,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,292.996368408203,293.003387451172,25000.306640625,25000.306640625,,,7.54340696334839,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,292.996215820313,0,2084574496,293.000823974609,,,-2.05828807100089E-5,2.89941842832205E-6,-4.1886502893935E-5,3.02761557612074E-6,0.0756901428103447,0.331557899713516,59.7930183410644,1.79705893993378,30,4,200,0.145773038268089,-0.515253245830536,0.672820270061493,1,,,,,,,,,,,,,,,,
,3975061807.43621,293.005996704102,27500.041015625,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,293.004272460937,293.01171875,27500.041015625,27500.041015625,,,7.54706001281738,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,293.004272460937,0,2084574464,293.008480834961,,,-1.73524305481709E-5,2.56675437103635E-6,-3.73592535898695E-5,2.68349329450809E-6,0.0683841183781624,0.336802691221237,59.946949005127,0.00583912897855043,30,4,200,0.12234865874052,-0.387095630168915,0.619251906871796,1,,,,,,,,,,,,,,,,
,3975061853.52662,293.009017944336,30000.376953125,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,293.007476806641,293.01416015625,30000.376953125,30000.376953125,,,7.55008935928345,,1,0,0,0,0.0139617919921875,31.2805480957031,1,1,1,293.006408691406,0,2084574816,293.011766221788,,,-1.88504461997113E-5,2.62064580678177E-6,-3.80083559947787E-5,2.73664049610206E-6,0.0777948871254921,0.33479517698288,59.743091583252,0,30,4,200,0.104955695569515,-0.0482578240334988,1.00009763240814,1,,,,,,,,,,,,,,,,
,3975061900.10392,293.001190185547,27500.306640625,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,292.999542236328,293.007171630859,27500.306640625,27500.306640625,,,7.55325555801392,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,292.998596191406,0,2084574112,293.004269070095,,,3.82833237879184E-6,9.24789904539965E-7,4.80219148334874E-6,9.65328272173937E-7,0.0250788200646639,0.0364254787564278,59.0877113342285,0,30,4,200,-0.0367665849626064,0.020261837169528,0.412223309278488,1,,,,,,,,,,,,,,,,
,3975061946.18684,292.998474121094,25000.4140625,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,292.995819091797,293.004364013672,25000.4140625,25000.4140625,,,7.55594205856323,,1,0,0,0,0.0139617919921875,30.3030319213867,1,1,1,292.995819091797,0,2084574368,293.001214599609,,,7.32977894679161E-6,1.22399015477671E-6,9.8432240939798E-6,1.27744498930714E-6,0.0532399117946625,0.0898345112800598,58.9507446289063,,30,4,200,-0.109196245670319,-0.844673454761505,0.200879663228989,1,,,,,,,,,,,,,,,,
,3975061993.28026,292.995651245117,22500.404296875,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,292.992645263672,293.001068115234,22500.404296875,22500.404296875,,,7.55863666534424,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,292.992645263672,0,2084574720,292.99792175293,,,7.62969797814148E-6,1.33712494872956E-6,1.46398828259329E-5,1.39636171954637E-6,0.048212755471468,0.173979207873344,59.8658409118652,0,30,4,200,-0.126170724630356,-1.24928855895996,-0.211583450436592,1,,,,,,,,,,,,,,,,
,3975062039.38257,292.996017456055,19999.970703125,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,292.994201660156,293.003082275391,19999.970703125,19999.970703125,,,7.56165742874146,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,292.993957519531,0,2084573760,292.999337768555,,,8.64976731425729E-6,1.24786097732364E-6,1.22732131081314E-5,1.30243583698709E-6,0.0720276609063149,0.137817829847336,59.0002899169922,1.81559586524963,30,4,200,-0.127566158771515,-1.09019589424133,-0.0564585849642754,1,,,,,,,,,,,,,,,,
,3975062085.51117,292.994979858398,17499.728515625,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,292.993103027344,293,17499.728515625,17499.728515625,,,7.563551902771,,1,0,0,0,0.0139617919921875,30.3030319213867,1,1,1,292.992828369141,0,2084574592,292.997487386068,,,1.10109201087476E-5,1.59281655181922E-6,1.79107569865291E-5,1.66387332335231E-6,0.0716221258044243,0.184461414813995,59.4283485412598,,30,4,200,-0.164672583341598,-0.998941659927368,0.354270666837692,1,,,,,,,,,,,,,,,,
,3975062130.91746,292.995742797852,15000.2001953125,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,292.993133544922,293.001129150391,15000.2001953125,15000.2001953125,,,7.5662145614624,,1,0,0,0,0,30.7917900085449,1,1,1,292.993133544922,0,2084574560,292.9978515625,,,1.39858737972529E-5,1.91675486894338E-6,2.26677864041939E-5,2.00155000212279E-6,0.0801498889923096,0.206708654761314,59.3029823303223,0.529407739639282,30,4,200,-0.191890776157379,-1.39487206935883,-0.390082001686096,1,,,,,,,,,,,,,,,,
,3975062177.52534,292.999420166016,12499.8271484375,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,292.998260498047,293.004821777344,12499.8271484375,12499.8271484375,,,7.5687255859375,,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,292.998260498047,0,2084574528,293.001678466797,,,1.65449083053909E-5,2.25808462789595E-6,2.79125312087972E-5,2.35800186614395E-6,0.080846793949604,0.228625044226646,59.4296417236328,0,30,4,200,-0.231383994221687,-1.11220502853394,0.0765447542071342,1,,,,,,,,,,,,,,,,
